id,title,authors,description,categories,average_rating,ratings_count,published_date,page_count,thumbnail,language,source_query
icKmd-tlvPMC,Journey to the Center of the Earth,Jules Verne,"The intrepid Professor Lindenbrock embarks upon the strangest expedition of the nineteenth century: a journey down an extinct Icelandic volcano to the Earth’s very core. In his quest to penetrate the planet’s primordial secrets, the geologist—together with his quaking nephew Axel and their devoted guide, Hans—discovers an astonishing subterranean menagerie of prehistoric proportions. Verne’s imaginative tale is at once the ultimate science fiction adventure and a reflection on the perfectibility of human understanding and the psychology of the questor. As David Brin notes in his Introduction, though Verne never knew the term “science fiction,” Journey to the Centre of the Earth is “inarguably one of the wellsprings from which it all began.”",Fiction,3.5,3,2006-04-25,242,http://books.google.com/books/content?id=icKmd-tlvPMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,subject:fiction
1RKjZlrYouEC,The Dream of the Celt,Mario Vargas Llosa,"This ""vast and intriguing novel"" explores the life of an Irish nationalist who exposed Britain's colonial crimes—by the Nobel Prize–winning author ( Guardian, UK). In 1916, the Irish nationalist Roger Casement was hanged by the British government for treason. Casement had dedicated his extraordinary life to improving the plight of oppressed peoples around the world—especially the native populations in the Belgian Congo and the Amazon. But when he dared to draw a parallel between the injustices he witnessed in African and American colonies and those committed by the British in Northern Ireland, he became involved in a cause that led to his imprisonment and execution. When Casement's homosexuality was revealed by his prosecutors—who drew excerpts from his personal ""black diary""—the resulting scandal tainted his image to such a degree that his pioneering human rights work was nearly forgotten to history. In The Dream of the Celt, Mario Vargas Llosa—one of Latin America's most vibrant, provocative, and necessary literary voices—brings this complex character to life as no other writer can. A masterful work, sharply translated by Edith Grossman, The Dream of the Celt tackles a controversial man whose story has long been neglected, and, in so doing, pushes at the boundaries of the historical novel.",Fiction,,0,2012-06-05,455,http://books.google.com/books/content?id=1RKjZlrYouEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,subject:fiction
EIHmvTdDOVoC,Fugitive Pieces,Anne Michaels,"A stunning debut novel from an award-winning poet. Jakob Beer, traumatically orphaned as a young child during World War II, learns over his lifetime the power of language to destroy, omit, and obliterate, and also to restore, conjure and witness, as he comes to understand and experience the extent of what was lost to him and of what is possible to regain.",Fiction,,0,1997,368,http://books.google.com/books/content?id=EIHmvTdDOVoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,subject:fiction
yzs6HicjgsAC,Cat's Cradle,Kurt Vonnegut,"“A free-wheeling vehicle . . . an unforgettable ride!”—The New York Times Cat’s Cradle is Kurt Vonnegut’s satirical commentary on modern man and his madness. An apocalyptic tale of this planet’s ultimate fate, it features a midget as the protagonist, a complete, original theology created by a calypso singer, and a vision of the future that is at once blackly fatalistic and hilariously funny. A book that left an indelible mark on an entire generation of readers, Cat’s Cradle is one of the twentieth century’s most important works—and Vonnegut at his very best. “[Vonnegut is] an unimitative and inimitable social satirist.”—Harper’s Magazine “Our finest black-humorist . . . We laugh in self-defense.”—Atlantic Monthly",Fiction,4,147,1998-09-08,308,http://books.google.com/books/content?id=yzs6HicjgsAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,subject:fiction
MRoMUV2kLZEC,Mysteries,Knut Hamsun,"The first complete English translation of the Nobel Prize-winner’s literary masterpiece A Penguin Classic Mysteries is the story of Johan Nilsen Nagel, a mysterious stranger who suddenly turns up in a small Norwegian town one summer—and just as suddenly disappears. Nagel is a complete outsider, a sort of modern Christ treated in a spirit of near parody. He condemns the politics and thought of the age, brings comfort to the “insulted and injured,” and gains the love of two women suggestive of the biblical Mary and Martha. But there is a sinister side of him: in his vest he carries a vial of prussic acid... The novel creates a powerful sense of Nagel's stream of thought, as he increasingly withdraws into the torture chamber of his own subconscious psyche. For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,800 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.",Fiction,4,3,2001-01-01,356,http://books.google.com/books/content?id=MRoMUV2kLZEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,subject:fiction
XdMBTKWSfeMC,Taras Bulba,Nikolái V. Gogol,"Feroces, crueles, valientes y apasionados, los cosacos hacen temblar la estepa bajo los cascos de sus caballos. Y entre ellos se encuentra Taras Bulba, un anciano lleno aún de fuerza e inteligencia que junto a sus hijos, Ostap y Andrí, avanzará por tierras polacas con intención de vengar su fe ortodoxa burlada por los católicos. Ninguna guarnición, ciudad amurallada o iglesia podrán detenerlos, hasta que la desgracia se cierna sobre ellos y el apuesto y enamoradizo Andrí haga que su padre maldiga el día en que lo engendró. Taras Bulba, una anomalía entre la obra más conocida de Gogol, es una aventura trepidante, una sinfonía en perpetuo crescendo, en la que cada capítulo es más intenso y sorprendente que el anterior. un fresco tan afinadamente dibujado y tan vívido que resulta absolutamente intemporal.",Literary Criticism,,0,2006-12-19,154,http://books.google.com/books/content?id=XdMBTKWSfeMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,es,subject:fiction
OTkGAQAAIAAJ,A Voyage to Arcturus,David Lindsay,"Considered by the Irish Times as ""one of the most brilliant flights of pure fancy ever recorded,"" this amazing story explores the beauty and untamed nature of a faraway world, where wild creatures crowd the fantastic landscape and demented torturers dominate victims with their bizarre mental powers.",Fiction,,0,1968,300,http://books.google.com/books/content?id=OTkGAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,subject:fiction
UiRdEQAAQBAJ,The History of the Peloponnesian War,Thucydides,"The History of the Peloponnesian War (Greek: Ἱστορίαι, ""Histories"") is a historical account of the Peloponnesian War (431–404 BC), which was fought between the Peloponnesian League (led by Sparta) and the Delian League (led by Athens). It was written by Thucydides, an Athenian historian who also served as an Athenian general during the war. His account of the conflict is widely considered to be a classic and regarded as one of the earliest scholarly works of history. The History is divided into eight books.",Fiction,,0,2021-01-13,738,http://books.google.com/books/content?id=UiRdEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,subject:fiction
jNlwVpztNqgC,Whiteout,Ken Follett,"A missing canister containing a deadly virus forms the center of a storm that traps Stanley Oxenford, director of a medical research firm, and a violent trio of thugs in a remote house during a Christmas Eve blizzard.",Fiction,,0,2005,642,http://books.google.com/books/content?id=jNlwVpztNqgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,subject:fiction
8XMvMXsctKwC,The Interestings,Meg Wolitzer,"Named a best book of the year by Entertainment Weekly, Time, and The Chicago Tribune, and named a notable book by The New York Times Book Review and The Washington Post “Remarkable . . . With this book [Wolitzer] has surpassed herself.”—The New York Times Book Review ""A victory . . . The Interestings secures Wolitzer's place among the best novelists of her generation. . . . She's every bit as literary as Franzen or Eugenides. But the very human moments in her work hit you harder than the big ideas. This isn't women's fiction. It's everyone's.""—Entertainment Weekly (A) From Meg Wolitzer, the New York Times–bestselling author of The Female Persuasion, a novel that has been called ""genius"" (The Chicago Tribune), “wonderful” (Vanity Fair), ""ambitious"" (San Francisco Chronicle), and a “page-turner” (Cosmopolitan). The summer that Nixon resigns, six teenagers at a summer camp for the arts become inseparable. Decades later the bond remains powerful, but so much else has changed. In The Interestings, Wolitzer follows these characters from the height of youth through middle age, as their talents, fortunes, and degrees of satisfaction diverge. The kind of creativity that is rewarded at age fifteen is not always enough to propel someone through life at age thirty; not everyone can sustain, in adulthood, what seemed so special in adolescence. Jules Jacobson, an aspiring comic actress, eventually resigns herself to a more practical occupation and lifestyle. Her friend Jonah, a gifted musician, stops playing the guitar and becomes an engineer. But Ethan and Ash, Jules’s now-married best friends, become shockingly successful—true to their initial artistic dreams, with the wealth and access that allow those dreams to keep expanding. The friendships endure and even prosper, but also underscore the differences in their fates, in what their talents have become and the shapes their lives have taken. Wide in scope, ambitious, and populated by complex characters who come together and apart in a changing New York City, The Interestings explores the meaning of talent; the nature of envy; the roles of class, art, money, and power; and how all of it can shift and tilt precipitously over the course of a friendship and a life.",Fiction,,0,2013-04-09,482,http://books.google.com/books/content?id=8XMvMXsctKwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,subject:fiction
